depth,months,shape,bond,dd,dd_bh,ret,ret_bh,w,гистерезис 2%,подтверждение 2 мес,стоп −15%,стоп −20%,depth_real
-0.4,24,back,flat,-36.42260804064756,-63.27364245110812,69.27455016921529,20.175437680848063,0.00418798499077015,-36.10781202788842,-27.408284313476404,-25.01791745951037,-27.73097920384896,-0.6
-0.4,24,back,fall,-36.43581536794819,-38.775775391792834,-2.670316021132091,41.24560825663481,0.0011092500786364181,-37.45532730536338,-34.98134719600701,-24.791808600110933,-27.12714072118657,-0.4
-0.4,24,saw,rally,-38.83684759261694,-56.285805558837424,90.8254572346815,73.03758095637276,0.0023293060190485468,-33.90288711413244,-35.64676396239602,-25.379948395196784,-27.20380357626442,-0.6
-0.4,24,saw,flat,-47.260736701298086,-42.32535136745672,30.08679909864316,43.82502801006147,0.007097532458042044,-43.922830835935976,-43.49609639422784,-28.54316428747329,-32.66022011068427,-0.4
-0.4,24,saw,fall,-62.20814627414249,-58.21985274353088,-44.45108820760072,-35.579133883766524,0.0009591260078435194,-55.149706380175125,-54.60529593570588,-39.92155669055778,-41.235968324575424,-0.6
-0.4,36,front,rally,-31.421772579147945,-71.98682931054634,43.38334092108453,-30.42130365973049,0.00028131715205900325,-27.34073901187244,-21.029468558568944,-21.84194538986556,-25.369409548592504,-0.6
-0.4,36,front,flat,-35.068979020386834,-38.07700073365408,49.04493201860088,98.40427722129331,0.0008571899103915512,-36.020665503476344,-30.28675988971464,-24.418287977873263,-27.419797092587427,-0.4
-0.4,36,front,fall,-37.54393066724829,-48.252245895127245,22.38408868651329,46.36223366306731,6.950188462634198e-05,-38.98366980544182,-33.7690827984625,-25.44070682551577,-27.209694488294435,-0.5
-0.4,36,linear,rally,-36.81810341546116,-74.72423843788553,39.85327642783765,-39.14879528637558,0.0008439514561770098,-41.11236166364838,-27.70375138522333,-25.313378552660627,-26.59731883822881,-0.6
-0.4,36,linear,flat,-21.686990710985626,-65.56297736140209,86.56835086872678,-4.878771720658626,0.0018368355222676096,-28.45963517161525,-21.6875054770603,-18.71562086272609,-21.23454025978884,-0.6
-0.4,36,linear,fall,-36.65601694452158,-59.59749403985424,6.916028328441959,-19.8292983189178,0.00034750942313171,-31.58087469987316,-34.04288888584696,-25.458030386957176,-25.130584920878015,-0.6
-0.4,36,back,rally,-33.83316702039178,-39.96028793672946,21.71811096509977,11.768834370858672,0.0014966072489538973,-34.386932821004514,-25.87113556979377,-25.24718183353547,-25.757643669739583,-0.4
-0.4,36,back,flat,-32.46506772436746,-62.6479914556902,-19.90804705858892,-34.3690093536714,0.0023266583282056386,-47.7989721164818,-24.29853656398476,-21.365381686610863,-25.41705248306423,-0.6
-0.4,36,back,fall,-49.37979508885374,-55.06674442117281,28.761620146870737,23.1208599532466,0.00044017860263349925,-38.49309708180435,-26.69939114009432,-32.22810557630954,-34.21141001327952,-0.6
-0.4,36,saw,rally,-24.237564831375067,-70.40659229738651,64.16327018217227,-17.517434541297106,0.0012940588994714147,-40.087512267183534,-16.464636860858505,-18.78358882990925,-22.84361436474247,-0.6
-0.4,36,saw,flat,-45.41961662499361,-61.98282371433312,-35.07038495341428,-27.304450674399472,0.002816481134143668,-38.08578737156266,-24.58129726278028,-26.9273109848841,-30.338633673022443,-0.6
-0.4,36,saw,fall,-56.19189918646803,-55.80939937711437,-29.901899062664693,-23.142385367671785,0.0005328477821352885,-56.830499936173474,-44.131123435756734,-37.83548830240733,-40.01383117095387,-0.6
-0.5,1,front,rally,-22.563754413644432,-54.52448307818185,45.10450845229008,-16.6230407992891,0.0003713386407178842,-21.39032526364435,-29.775274975574064,-17.672960592830034,-21.31901426964121,-0.5
-0.5,1,front,flat,-23.89509915182585,-48.48938691769021,-2.313176322096433,-1.2849836981620566,0.0008082076297977483,-26.56169593669325,-24.62613734807939,-21.06290622041336,-21.570156853302024,-0.5
