,nav
1995-07-26,292033324.41361564
1995-07-27,295555096.2863583
1995-07-28,292365382.94929093
1995-07-31,292540820.49463874
1995-08-01,290971670.91693807
1995-08-02,291549763.9228731
1995-08-03,289560635.65785897
1995-08-04,290502213.8445906
1995-08-07,291668152.10309464
1995-08-08,291856581.29720616
1995-08-09,291751397.47415245
1995-08-10,290226040.093315
1995-08-11,286868286.9755347
1995-08-14,289525670.32634455
1995-08-15,289362493.00001293
1995-08-16,290778955.300785
1995-08-17,289646073.5348584
1995-08-18,289947759.58614755
1995-08-21,289857736.99723923
1995-08-22,289771418.5204742
1995-08-23,288074755.56089693
1995-08-24,290488941.27902806
1995-08-25,294615811.2827172
1995-08-28,294453492.435882
1995-08-29,294727829.7942073
1995-08-30,295999590.66332984
1995-08-31,297300675.8586718
1995-09-01,299864924.4246313
1995-09-05,303595060.13014144
1995-09-06,304356037.8581924
1995-09-07,303601511.0559712
1995-09-08,304036296.753233
1995-09-11,304924463.2506925
1995-09-12,308071124.6152123
1995-09-13,309007324.8209919
1995-09-14,314057798.28759754
1995-09-15,313244079.8633936
1995-09-18,310764031.32451785
1995-09-19,312943389.4107642
1995-09-20,315356210.61364263
1995-09-21,310197323.17454654
1995-09-22,309328938.057645
1995-09-25,308680903.229774
1995-09-26,308108823.61517555
1995-09-27,307370188.49881554
1995-09-28,310131349.6215728
1995-09-29,312017644.8935456
1995-10-02,310963120.8564566
1995-10-03,311724646.8400692
1995-10-04,311592636.57369
1995-10-05,313844563.73046803
1995-10-06,314065725.97040236
1995-10-09,311401538.8575497
1995-10-10,311133916.2152922
1995-10-11,311646021.9877724
1995-10-12,314008098.79286414
1995-10-13,317325009.74860406
1995-10-16,315899794.3689104
1995-10-17,317962662.3908973
1995-10-18,318391646.74046516
1995-10-19,320103291.78445476
1995-10-20,316765770.5450699
1995-10-23,315480263.7139863
1995-10-24,316957805.08992875
1995-10-25,314812495.15947604
1995-10-26,310557393.3695685
1995-10-27,313103974.60786456
1995-10-30,315420519.9942485
1995-10-31,314293274.50372404
1995-11-01,317940120.563378
1995-11-02,321319747.4919796
1995-11-03,321247041.4886173
1995-11-06,319772700.49825734
1995-11-07,317881277.2325299
1995-11-08,322329687.63808054
1995-11-09,322266180.7917832
1995-11-10,321351608.32161736
1995-11-13,321579077.7090593
1995-11-14,319706445.2540475
1995-11-15,322131448.82635224
1995-11-16,325548529.1256432
1995-11-17,326764854.87560755
1995-11-20,324933193.50053847
1995-11-21,327735583.606473
1995-11-22,326467161.20788383
1995-11-24,327810128.5935836
1995-11-27,328643257.0343988
1995-11-28,332038965.66203135
1995-11-29,333082049.2904151
1995-11-30,334517150.6854212
1995-12-01,336135480.3251915
1995-12-04,342368838.65029806
1995-12-05,344071309.7185871
1995-12-06,344309872.11156785
1995-12-07,341207028.1894064
1995-12-08,342042913.06812525
1995-12-11,344089653.1186357
1995-12-12,342773730.7823843
1995-12-13,344391090.9899093
1995-12-14,341864384.682447
1995-12-15,341708421.2189177
1995-12-18,332677687.8211076
1995-12-19,337219349.2348423
1995-12-20,335170817.94296855
1995-12-21,336625989.19118184
1995-12-22,339339584.5989948
1995-12-26,341626743.749039
1995-12-27,342189790.38440937
1995-12-28,342580514.1673363
1995-12-29,344258014.5536758
1996-01-02,347518103.60220236
1996-01-03,348964165.74208736
1996-01-04,343806133.3398764
1996-01-05,342034233.33064497
1996-01-08,343678857.25702816
1996-01-09,337233245.02034116
1996-01-10,330249570.9174609
1996-01-11,332725619.0666742
1996-01-12,332943629.13904107
1996-01-15,332171164.0426773
1996-01-16,338676600.1175968
1996-01-17,339653230.6746478
1996-01-18,342028795.2327006
1996-01-19,344001196.68171126
1996-01-22,342388292.6683712
1996-01-23,341873459.92388237
1996-01-24,345639818.32211554
1996-01-25,342373354.81158614
1996-01-26,346568677.76989806
1996-01-29,347017466.92400503
1996-01-30,351467915.08816415
1996-01-31,355872543.9974579
1996-02-01,356349321.20330286
1996-02-02,354053903.9359937
1996-02-05,355934985.0559785
1996-02-06,359821842.21426994
1996-02-07,362409330.91390467
1996-02-08,366284078.2510823
1996-02-09,366164816.8342406
1996-02-12,370413049.99972796
1996-02-13,370438574.5233907
1996-02-14,366101097.3160323
1996-02-15,361616366.493065
1996-02-16,358462091.9136523
1996-02-20,348217611.283184
1996-02-21,353379641.47819424
1996-02-22,360633363.81953573
1996-02-23,358218815.2271152
1996-02-26,351973179.15608084
1996-02-27,349490632.9017789
1996-02-28,346488346.5960649
1996-02-29,342584529.0046608
1996-03-01,351632812.3211579
1996-03-04,355539372.7703466
1996-03-05,357723894.14700025
1996-03-06,352216089.5241366
1996-03-07,353425688.5755424
1996-03-08,333103916.22708863
1996-03-11,339082478.74772257
1996-03-12,335647209.75852096
1996-03-13,338220076.5740992
1996-03-14,339466918.5984253
1996-03-15,336792305.46057177
1996-03-18,344280033.00732654
1996-03-19,343996251.83275944
1996-03-20,345316166.49224484
1996-03-21,345962679.12342036
1996-03-22,345865751.2583081
1996-03-25,346799541.3966042
1996-03-26,348714957.86053836
1996-03-27,343237943.7110076
1996-03-28,342812614.11045974
1996-03-29,342868087.2412252
1996-04-01,347766036.3071209
1996-04-02,349928815.6491766
1996-04-03,349404745.127277
1996-04-04,347627617.4864636
1996-04-08,334296880.80813766
1996-04-09,334665751.9693031
1996-04-10,327040645.79259545
1996-04-11,325413442.5793914
1996-04-12,333428472.77017504
1996-04-15,337500073.71452016
1996-04-16,338216356.08414143
1996-04-17,336424665.25168097
1996-04-18,335449640.8961086
1996-04-19,337455885.14896363
1996-04-22,341365417.62933594
1996-04-23,341437765.38832736
1996-04-24,338997838.2526331
1996-04-25,340763802.5301761
1996-04-26,341960096.6664811
