,nav
1998-12-18,628968730.07258
1998-12-21,634746774.5443716
1998-12-22,634557963.6435605
1998-12-23,642314277.7385442
1998-12-24,637111507.6716325
1998-12-28,639567392.8816632
1998-12-29,652923682.6390804
1998-12-30,650607367.644295
1998-12-31,650559018.6385787
1999-01-04,647362504.9043485
1999-01-05,652177439.9639206
1999-01-06,668123166.7362089
1999-01-07,662917764.3918072
1999-01-08,663392215.302405
1999-01-11,655280675.0259404
1999-01-12,647314636.6116111
1999-01-13,646619374.4084103
1999-01-14,640760608.6248573
1999-01-15,655585451.1026543
1999-01-19,657565490.258895
1999-01-20,660282860.0727513
1999-01-21,645855127.2705888
1999-01-22,647259025.4873987
1999-01-25,652383587.2574371
1999-01-26,663004126.7630335
1999-01-27,655845317.5094849
1999-01-28,667104241.8237449
1999-01-29,672547033.7053175
1999-02-01,664451118.7715626
1999-02-02,658436218.390737
1999-02-03,663085614.0184833
1999-02-04,650295690.2146733
1999-02-05,640409318.5899146
1999-02-08,641821715.585366
1999-02-09,628844619.4538503
1999-02-10,633319938.6863682
1999-02-11,646367968.8348194
1999-02-12,632330292.1270331
1999-02-16,630113895.8332708
1999-02-17,631839411.4896551
1999-02-18,633913674.2712544
1999-02-19,635167229.3769796
1999-02-22,654350610.7766143
1999-02-23,650273890.9154749
1999-02-24,634724298.3387294
1999-02-25,621827589.7836183
1999-02-26,620699725.9114728
1999-03-01,617333747.7768376
1999-03-02,614203796.123023
1999-03-03,615547179.1585548
1999-03-04,622348544.2238787
1999-03-05,638148901.3820446
1999-03-08,644773190.9886582
1999-03-09,648382531.158365
1999-03-10,653004131.0092762
1999-03-11,659652295.6068354
1999-03-12,655743230.5720059
1999-03-15,665529916.4161116
1999-03-16,664884739.2881113
1999-03-17,660629431.812972
1999-03-18,672434939.3762786
1999-03-19,658375668.266493
1999-03-22,657875269.2258812
1999-03-23,639577557.6941664
1999-03-24,644542714.4924793
1999-03-25,655575242.2515718
1999-03-26,650852450.6642287
1999-03-29,660653914.0124182
1999-03-30,660489280.4184849
1999-03-31,648111624.110715
1999-04-01,651970512.7323645
1999-04-05,670798548.9708115
1999-04-06,672506986.2556251
1999-04-07,677303305.622336
1999-04-08,691453007.4561266
1999-04-09,690518024.0734373
1999-04-12,697317997.314215
1999-04-13,689769528.2312781
1999-04-14,677812541.8531464
1999-04-15,672659468.6124029
1999-04-16,664385156.6883477
1999-04-19,656951161.9555732
1999-04-20,666052116.482572
1999-04-21,684228808.5840328
1999-04-22,686503887.1009274
1999-04-23,684234043.3643667
1999-04-26,689823477.165726
1999-04-27,693570757.4215882
1999-04-28,681607615.993843
1999-04-29,678980868.0220512
1999-04-30,666350519.1842558
1999-05-03,677653765.0063657
1999-05-04,667636205.734412
1999-05-05,672929346.4275962
1999-05-06,668779981.97012
1999-05-07,673838833.9036576
1999-05-10,670469868.3886709
1999-05-11,677245353.5983865
1999-05-12,682538534.7850319
1999-05-13,685490159.8515655
1999-05-14,667684671.7968248
1999-05-17,669699907.7261705
1999-05-18,668438134.5203682
1999-05-19,673263077.3361233
1999-05-20,669191746.9189097
1999-05-21,665432273.0989735
1999-05-24,654338210.0815248
1999-05-25,643646838.6770396
1999-05-26,650813451.6817843
1999-05-27,641435781.1616304
1999-05-28,649616688.6735861
1999-06-01,647340899.4684969
1999-06-02,647952212.4847105
1999-06-03,651528945.5191329
1999-06-04,664625461.2447923
1999-06-07,666328873.4280081
1999-06-08,659760787.2007407
1999-06-09,659123389.1410531
1999-06-10,653023045.9555866
1999-06-11,647547779.104292
1999-06-14,648159129.2543199
1999-06-15,652515707.9407992
1999-06-16,664988319.0308588
1999-06-17,671217671.8015722
1999-06-18,671980894.4072996
1999-06-21,673532815.0556574
1999-06-22,668823212.2641243
1999-06-23,665522131.2077714
1999-06-24,660499439.8367893
1999-06-25,658842245.1363645
1999-06-28,666891074.0849124
1999-06-29,673139146.3877811
1999-06-30,685335889.5228816
1999-07-01,690488102.0136802
1999-07-02,697362248.6544806
1999-07-06,697191540.4796333
1999-07-07,698116265.3344442
1999-07-08,698650269.8513559
1999-07-09,702784654.9359711
1999-07-12,699639611.7197138
1999-07-13,697121173.0554028
1999-07-14,701020647.3272377
1999-07-15,705467789.1342188
1999-07-16,709289027.2811544
1999-07-19,704578364.180464
1999-07-20,690084280.3814557
1999-07-21,689287387.8467181
1999-07-22,680194347.1915877
1999-07-23,678849835.0296438
1999-07-26,673826761.3403194
1999-07-27,679449078.7622414
1999-07-28,681626776.4013276
1999-07-29,672064311.0932915
1999-07-30,663753780.3020579
1999-08-02,665305659.5601197
1999-08-03,662161431.951757
1999-08-04,653068531.6343423
1999-08-05,659004055.5208857
1999-08-06,651789994.1843892
1999-08-09,650367572.1635746
1999-08-10,643153425.4371202
1999-08-11,650967482.7096795
1999-08-12,650562562.1880196
1999-08-13,665656062.8786976
1999-08-16,668616920.2740415
1999-08-17,672986570.4764222
1999-08-18,668120308.507656
1999-08-19,662627351.6145263
1999-08-20,669345391.3761091
1999-08-23,682168280.6953146
1999-08-24,684659162.3838829
1999-08-25,691689445.0335037
1999-08-26,683309440.1644646
1999-08-27,674999093.8014536
1999-08-30,662461664.2641124
1999-08-31,659943839.5021069
1999-09-01,668070746.3189046
1999-09-02,660151820.4608518
1999-09-03,679471090.3350786
1999-09-07,676952377.3163265
1999-09-08,673651337.9291232
1999-09-09,673324454.8241084
1999-09-10,678946679.9750795
1999-09-13,674314621.6442032
1999-09-14,669839331.2947747
1999-09-15,659181136.0353138
1999-09-16,661750681.8013694
1999-09-17,670120462.2057484
1999-09-20,669165018.9860227
1999-09-21,655022858.3122208
1999-09-22,654303363.9532356
1999-09-23,640553836.2662649
1999-09-24,639912997.8928156
1999-09-27,644138277.3393335
1999-09-28,642869288.3469981
1999-09-29,635163916.3131949
1999-09-30,644883823.6260247
1999-10-01,643457822.72601
1999-10-04,654904420.9984357
1999-10-05,654263396.4370356
